profile_id,manufacturer,model_family,instrument_class,capability_id,label_ko,category,operation,scpi,response_type,unit,risk_level,scope,verification,parameters_json,source_ids,note_ko
kikusui_pmx35_3a,Kikusui,PMX-A,dc_power_supply,system.identify,기기 식별,system,query,*IDN?,string,,low,,profile_source_confirmed,[],lab_visa_pmx35_profile,
kikusui_pmx35_3a,Kikusui,PMX-A,dc_power_supply,system.reset,초기화,system,execute,*RST,,,medium,,profile_source_confirmed,[],lab_visa_pmx35_profile,
kikusui_pmx35_3a,Kikusui,PMX-A,dc_power_supply,system.clear_status,상태·오류 큐 초기화,system,execute,*CLS,,,low,,profile_source_confirmed,[],lab_visa_pmx35_profile,
kikusui_pmx35_3a,Kikusui,PMX-A,dc_power_supply,system.options.query,옵션 조회,system,query,*OPT?,string,,low,,profile_source_confirmed,[],lab_visa_pmx35_profile,
kikusui_pmx35_3a,Kikusui,PMX-A,dc_power_supply,system.self_test,자기진단,system,query,*TST?,integer,,medium,,profile_source_confirmed,[],lab_visa_pmx35_profile,
kikusui_pmx35_3a,Kikusui,PMX-A,dc_power_supply,trigger.force,버스 트리거,trigger,execute,*TRG,,,medium,,profile_source_confirmed,[],lab_visa_pmx35_profile,
kikusui_pmx35_3a,Kikusui,PMX-A,dc_power_supply,operation.wait,동작 완료 대기,system,execute,*WAI,,,low,,profile_source_confirmed,[],lab_visa_pmx35_profile,
kikusui_pmx35_3a,Kikusui,PMX-A,dc_power_supply,output.state,DC 출력 ON/OFF,output,set,OUTP {state},,,high,,profile_source_confirmed,"[{""mapping"":{""false"":""OFF"",""true"":""ON""},""name"":""state"",""type"":""boolean""}]",lab_visa_pmx35_profile,
kikusui_pmx35_3a,Kikusui,PMX-A,dc_power_supply,output.state,DC 출력 ON/OFF,output,query,OUTP?,boolean,,high,,profile_source_confirmed,"[{""mapping"":{""false"":""OFF"",""true"":""ON""},""name"":""state"",""type"":""boolean""}]",lab_visa_pmx35_profile,
kikusui_pmx35_3a,Kikusui,PMX-A,dc_power_supply,output.power_on_state,전원 인가 시 출력 정책,output,set,OUTP:PON {state},,,high,,profile_source_confirmed,"[{""choices"":[""SAFE"",""AUTO"",""FORCE""],""name"":""state"",""type"":""enum""}]",lab_visa_pmx35_profile,
kikusui_pmx35_3a,Kikusui,PMX-A,dc_power_supply,protection.clear,보호 알람 해제,protection,execute,OUTP:PROT:CLE,,,high,,profile_source_confirmed,[],lab_visa_pmx35_profile,
kikusui_pmx35_3a,Kikusui,PMX-A,dc_power_supply,source.voltage,출력 전압 설정,source,set,VOLT {value},,V,high,,profile_source_confirmed,"[{""maximum"":36.75,""minimum"":0,""name"":""value"",""type"":""float"",""unit"":""V""}]",lab_visa_pmx35_profile,정격 35 V; 출처 프로파일은 105%까지 설정 범위를 기록.
